ef,recall,median_ms,p95_ms,qps
16,0.568330,0.056125,0.088958,16938.96
32,0.680420,0.091167,0.146224,10258.85
64,0.768040,0.162500,0.243669,5910.77
128,0.834730,0.307125,0.408419,3219.07
256,0.883540,0.601916,0.740417,1681.19
512,0.922240,1.214687,1.443715,840.38
