ef,recall,median_ms,p95_ms,qps
16,0.682280,0.087833,0.138796,10889.07
32,0.773620,0.147458,0.219710,6651.02
64,0.845670,0.259833,0.355044,3889.58
128,0.900450,0.469813,0.605298,2187.44
256,0.941320,0.862854,1.100375,1201.52
512,0.970630,1.593792,2.084544,647.89
